epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6556,1.20495,1.58292,1.07788,0.67299,0.67898,0.70966,0.51517,0.99546,1.125,1.00573,0.000415947,0.000415947,0.000415947
2,108.144,1.14676,1.14915,1.06928,0.65935,0.67885,0.7362,0.52245,1.05859,1.00397,1.02671,0.000818876,0.000818876,0.000818876
3,158.218,1.13008,1.06636,1.06837,0.68402,0.67676,0.73087,0.53569,1.00998,0.97041,1.03113,0.00120805,0.00120805,0.00120805
4,208.063,1.11376,1.01433,1.06089,0.72307,0.66828,0.75966,0.56801,0.97569,0.89644,1.00954,0.00118812,0.00118812,0.00118812
5,257.914,1.08439,0.96526,1.0505,0.716,0.69859,0.76576,0.57502,0.94383,0.89209,1.0113,0.0011675,0.0011675,0.0011675
6,308.056,1.05714,0.93191,1.0423,0.69831,0.67024,0.74913,0.56139,0.97044,0.89638,1.0062,0.00114688,0.00114688,0.00114688
7,358.203,1.04976,0.91804,1.03592,0.71969,0.69023,0.76569,0.57773,0.93308,0.85845,1.00184,0.00112625,0.00112625,0.00112625
8,408.282,1.03398,0.89178,1.03031,0.73213,0.70433,0.7781,0.59772,0.91215,0.82733,0.98618,0.00110563,0.00110563,0.00110563
9,458.366,1.02031,0.87801,1.0257,0.7101,0.69725,0.77389,0.59063,0.91835,0.80366,0.99096,0.001085,0.001085,0.001085
10,508.578,1.01085,0.86468,1.02216,0.75497,0.70558,0.79354,0.61425,0.89608,0.79309,0.98275,0.00106437,0.00106437,0.00106437
11,558.697,0.99744,0.84842,1.01719,0.71724,0.71317,0.77848,0.59638,0.91598,0.82717,0.99314,0.00104375,0.00104375,0.00104375
12,608.498,0.98653,0.83495,1.01001,0.7249,0.72603,0.78913,0.61569,0.89392,0.78504,0.98392,0.00102312,0.00102312,0.00102312
13,658.634,0.97752,0.82194,1.00756,0.75418,0.7124,0.80611,0.62962,0.88013,0.76629,0.97824,0.0010025,0.0010025,0.0010025
14,708.504,0.9683,0.81079,1.00387,0.75905,0.70329,0.80266,0.62847,0.88677,0.76737,0.97857,0.000981875,0.000981875,0.000981875
15,758.63,0.96795,0.80838,1.00257,0.76156,0.69564,0.797,0.62076,0.88766,0.77645,0.98089,0.00096125,0.00096125,0.00096125
16,808.546,0.95485,0.79773,1.00258,0.71925,0.72425,0.79612,0.62214,0.87997,0.76329,0.97749,0.000940625,0.000940625,0.000940625
17,858.644,0.94635,0.78174,0.99532,0.75739,0.72953,0.81214,0.63643,0.86969,0.7442,0.97241,0.00092,0.00092,0.00092
18,908.458,0.95038,0.78336,0.99641,0.77752,0.70541,0.8105,0.63985,0.87017,0.74641,0.97231,0.000899375,0.000899375,0.000899375
19,958.544,0.93652,0.7729,0.99144,0.75404,0.71722,0.80416,0.63514,0.85608,0.74445,0.96921,0.00087875,0.00087875,0.00087875
20,1008.48,0.93637,0.76415,0.99145,0.77698,0.70477,0.80636,0.64174,0.86043,0.73757,0.96686,0.000858125,0.000858125,0.000858125
